Opskrift Titel;Ingrediens Navn;Raavare ID;Meny URL
Thai salat med peanuts, risnudler og roastbeef;Iceberg Salat;ing_extra_8;https://meny.dk/opskrift/thai-salat-peanuts-risnudler-og-roastbeef
Thai salat med peanuts, risnudler og roastbeef;Blandet salat;ing_salat_mix;https://meny.dk/opskrift/thai-salat-peanuts-risnudler-og-roastbeef
Thai salat med peanuts, risnudler og roastbeef;Skåret Salatblanding;ing_salatblanding;https://meny.dk/opskrift/thai-salat-peanuts-risnudler-og-roastbeef
Rejer i hvidløg;Æg;ing_aeg;https://meny.dk/opskrift/rejer-hvidloeg
Rejer i hvidløg;Blandet salat;ing_salat_mix;https://meny.dk/opskrift/rejer-hvidloeg
Rejer i hvidløg;Iceberg Salat;ing_extra_8;https://meny.dk/opskrift/rejer-hvidloeg
Rejer i hvidløg;Skåret Salatblanding;ing_salatblanding;https://meny.dk/opskrift/rejer-hvidloeg
Rejer i hvidløg;Torskefileter;ing_extra_21;https://meny.dk/opskrift/rejer-hvidloeg
Cremet fiskesuppe med laks, kartofler og dild;Salt;ing_extra_43;https://meny.dk/opskrift/cremet-fiskesuppe-laks-kartofler-og-dild
Cremet fiskesuppe med laks, kartofler og dild;Fersk Laks;ing_laks;https://meny.dk/opskrift/cremet-fiskesuppe-laks-kartofler-og-dild
Høstsild med ­løvstikke;Kartofler;ing_extra_3;https://meny.dk/opskrift/hoestsild-loevstikke
Høstsild med ­løvstikke;Salt;ing_extra_43;https://meny.dk/opskrift/hoestsild-loevstikke
Høstsild med ­løvstikke;Torskefileter;ing_extra_21;https://meny.dk/opskrift/hoestsild-loevstikke
Græske kødboller med bagte tomater feta og fladbrød;Salt;ing_extra_43;https://meny.dk/opskrift/graske-kodboller-bagte-tomater-feta-og-fladbrod
Græske kødboller med bagte tomater feta og fladbrød;Hakkede Tomater;ing_tomatsovs;https://meny.dk/opskrift/graske-kodboller-bagte-tomater-feta-og-fladbrod
Apple pie med cheddardej;Frisk Ingefær;ing_extra_12;https://meny.dk/opskrift/apple-pie-cheddardej
Chili con carne;Salt;ing_extra_43;https://meny.dk/opskrift/chili-con-carne
Chili con carne;Sort Peber;ing_extra_44;https://meny.dk/opskrift/chili-con-carne
Chili con carne;Hakket Oksekød;ing_hakket_okse;https://meny.dk/opskrift/chili-con-carne
Chili con carne;Løg;ing_loeg;https://meny.dk/opskrift/chili-con-carne
Chili con carne;Hvidløg;ing_extra_11;https://meny.dk/opskrift/chili-con-carne
Chili con carne;Tomater (Danske);ing_extra_1;https://meny.dk/opskrift/chili-con-carne
Chili con carne;Hakkede Tomater;ing_tomatsovs;https://meny.dk/opskrift/chili-con-carne
Chili con carne;Friske Tomater;ing_tomat;https://meny.dk/opskrift/chili-con-carne
Chili con carne;Frisk Chili;ing_frisk_chili;https://meny.dk/opskrift/chili-con-carne
Chili con carne;Bacon i tern;ing_bacon;https://meny.dk/opskrift/chili-con-carne
